celltype,gene,rank
14,MT-CO1,50
15,MIR193BHG,1
15,VIT,2
15,PLA2G16,3
15,XAGE2,4
15,IGFBP3,5
15,EFNA1,6
15,CLTB,7
15,IFI6,8
15,CLIC3,9
15,S100A13,10
15,KRT7,11
15,TMEM141,12
15,MFAP5,13
15,C19orf33,14
15,S100A10,15
15,KRT19,16
15,CDKN2A,17
15,CST6,18
15,PDLIM1,19
15,SFRP1,20
15,MYL9,21
15,SLC7A4,22
15,PLAC9,23
15,SCCPDH,24
15,PIFO,25
15,TCIM,26
15,WNT6,27
15,BIRC7,28
15,CYB5R1,29
15,S100A16,30
15,LY6E,31
15,ANXA8L1,32
15,GPX7,33
15,WNT7A,34
15,TAGLN,35
15,TNNT3,36
15,PROSER2,37
15,HMGB3,38
15,KRT18,39
15,KRT8,40
15,GPR143,41
15,ANXA8,42
15,TINAGL1,43
15,TPM1,44
15,PRSS23,45
15,XAGE3,46
15,NKAIN4,47
15,ABHD11,48
15,ANXA2,49
15,NEK6,50
16,CPOX,1
16,TFR2,2
16,SMIM1,3
16,HBQ1,4
16,MINPP1,5
16,CD36,6
16,HBB,7
16,HBG2,8
16,APOC1,9
16,HEMGN,10
16,TESC,11
16,SLC25A39,12
16,NARF,13
16,PRDX2,14
16,SLC4A1,15
16,GYPC,16
16,SLC38A5,17
16,KLF1,18
16,KCNH2,19
16,GYPB,20
16,BLVRB,21
16,HBA2,22
16,FAM178B,23
16,GATA1,24
16,GYPA,25
16,ANK1,26
16,SELENBP1,27
16,ADD2,28
16,FECH,29
16,AHSP,30
16,HES6,31
16,RHAG,32
16,HMBS,33
16,HBG1,34
16,HBM,35
16,SNCA,36
16,GLRX5,37
16,LYL1,38
16,ALAS2,39
16,UROD,40
16,EPB42,41
16,HBA1,42
16,PCLAF,43
16,TMEM56,44
16,MYL4,45
16,RFESD,46
16,LMO2,47
16,HMGN5,48
16,SLC25A37,49
16,SPTA1,50
17,PNISR,1
17,PPDPF,2
17,CD37,3
17,EBPL,4
17,ITM2A,5
17,TAOK3,6
17,PNN,7
17,MSN,8
17,SPN,9
17,MEF2C,10
17,FAM117A,11
17,ATP2C1,12
17,XIST,13
17,MBNL1,14
17,AC084033.3,15
17,AREG,16
17,GYPC,17
17,SEPT6,18
17,FXYD5,19
17,MALAT1,20
17,GNA15,21
17,STK4,22
17,MYB,23
17,ARID1B,24
17,DDAH2,25
17,RPS6KA3,26
17,HLA-DPA1,27
17,SPTBN1,28
17,ICAM3,29
17,PRSS57,30
17,ANKRD28,31
17,HLA-DRA,32
17,ITGA4,33
17,MT-ND4,34
17,SNHG7,35
17,EMP3,36
17,LIMD2,37
17,HLA-DPB1,38
17,CD74,39
17,CD52,40
17,LMO2,41
17,CHD9,42
17,PRKACB,43
17,VIM,44
17,HLA-DRB1,45
17,GBP4,46
17,SH3BGRL,47
17,LAPTM4B,48
17,SMIM24,49
17,IGF2BP2,50
18,TCF4,1
18,ODC1,2
18,CAVIN3,3
18,PPDPF,4
18,YPEL2,5
18,CNST,6
18,PECAM1,7
18,CCDC68,8
18,SLC9A3R2,9
18,ESAM,10
18,RRAS,11
18,PSMB8,12
18,MYL9,13
18,PDLIM7,14
18,TIMP1,15
18,CCDC85B,16
18,DLC1,17
18,TCIM,18
18,TPM2,19
18,ICAM2,20
18,TGFB1I1,21
18,TMSB4X,22
18,PKIG,23
18,CAVIN2,24
18,IFI27,25
18,DLK1,26
18,TXNIP,27
18,MEG3,28
18,WFDC1,29
18,GNG11,30
18,C11orf96,31
18,VAMP5,32
18,PRKAR2B,33
18,MMRN1,34
18,SPARC,35
18,NDUFA4L2,36
18,COX4I2,37
18,COX7A1,38
18,GUCY1A1,39
18,TM4SF1,40
18,HIGD1B,41
18,VIM,42
18,EGFL7,43
18,NPDC1,44
18,ARHGEF12,45
18,CRIP2,46
18,PPP1R14A,47
18,MGP,48
18,LGALS1,49
18,IFITM3,50
19,TCF4,1
19,ODC1,2
19,PNISR,3
19,CD37,4
19,IGHM,5
19,HERPUD1,6
19,CLEC2D,7
19,HLA-DMA,8
19,MALAT1,9
19,RFTN1,10
19,STK4,11
19,HLA-DQA1,12
19,CD79A,13
19,SYNGR2,14
19,IGKC,15
19,NFKB2,16
19,HLA-DPA1,17
19,PLP2,18
19,CCR7,19
19,JCHAIN,20
19,HLA-DRA,21
19,LTB,22
19,IRF8,23
19,MS4A1,24
19,HLA-DQB1,25
19,EEF1B2,26
19,LAPTM5,27
19,DDX21,28
19,CXCR4,29
19,HLA-DQA2,30
19,HLA-A,31
19,EMP3,32
19,LIMD2,33
19,KMT2E,34
19,GPR183,35
19,ISG20,36
19,HLA-DPB1,37
19,HLA-B,38
19,ANKRD12,39
19,CD74,40
19,CD52,41
19,VIM,42
19,HLA-DRB1,43
19,CYBA,44
19,CD83,45
19,CORO1A,46
19,RELB,47
19,REL,48
19,IGHD,49
19,GNG7,50
2,DNAJB4,1
2,TBX3,2
2,TACC2,3
2,GATA3,4
2,TCAF1,5
2,PMAIP1,6
2,ITGA6,7
2,SLC9A1,8
2,ITIH5,9
2,IER5,10
2,TENT5A,11
2,KLF5,12
2,SVEP1,13
2,FAM84A,14
2,SERTAD1,15
2,PLK2,16
2,LAMC1,17
2,CLDN4,18
2,ADAMTSL4,19
2,MYH10,20
2,DSP,21
2,HEXIM1,22
2,ITGB4,23
2,SLC26A2,24
2,AHNAK,25
2,ATF3,26
2,CDH1,27
2,BCAM,28
2,ELF3,29
2,JUN,30
2,CYR61,31
2,INTS6,32
2,TENM3,33
2,EGFR,34
2,FBN1,35
2,SLC5A3,36
2,ENPEP,37
2,RBBP6,38
2,HOMER1,39
2,LAMB1,40
2,KLF4,41
2,PEG3,42
2,MET,43
2,LRP2,44
2,IRX2,45
2,F5,46
2,GLDC,47
2,LAMA5,48
2,FBN2,49
2,FOSB,50
3,C2,1
3,RNASE1,2
3,CTSC,3
3,CST3,4
3,C1QC,5
3,PLTP,6
3,FCGR2A,7
3,SLCO2B1,8
3,MS4A4A,9
3,CTSZ,10
3,VSIG4,11
3,F13A1,12
3,CSF1R,13
3,SH2B3,14
3,SPP1,15
3,TMEM176B,16
3,MS4A7,17
3,C1QB,18
3,FCGRT,19
3,FTL,20
3,LYVE1,21
3,MRC1,22
3,SLC16A10,23
3,FABP5,24
3,LAIR1,25
3,METRNL,26
3,MAFB,27
3,FOLR2,28
3,SELENOP,29
3,CTSB,30
3,C1QA,31
3,STAB1,32
3,FNIP2,33
3,CD74,34
3,KCTD12,35
